KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_8cmWW,It seems you don't have enough <color=#fddc1e>Gold Coins</color>...get some and come back. Bye,"Es scheint, du hast nicht genug <color=#fddc1e>Goldmünzen</color>...besorg dir welche und komm zurück. Bye",Il semble que vous n'ayez pas assez de <color=#fddc1e>Pièces d'or</color>...  Revenez me voir avec plus d'argent. Bye,Sembra tu non abbia abbastanza <color=#fddc1e>Monete d'Oro</color>...torna quando ne avrai a sufficienza. Ciao,Parece que no tienes suficientes <color=#fddc1e>monedas de oro</color>... consigue algunas y vuelve. Adiós,,,,"Похоже, вам не хватает <color=#fddc1e>Золотых монет</color>...раздобудьте немного и возвращайтесь. Пока.",<color=#fddc1e>ゴールドコイン</color>が足りないようですね...手に入れて戻ってきてください。さようなら。,似乎你没有足够的 <color=#fddc1e>金币</color>...记得有了之后再来。拜拜（需要背包内有金币，不能是现金或存款）,,,Görünüşe göre yeterince <color=#fddc1e>Altın Sikken</color> yok... biraz al ve geri gel. Hoşçakal,,,
txt_S0uKE,You bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color> and I will also bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color>. \n\nYour first card is <color=#019245><b>{PlayerCards}</b></color>.,Du setzt {GoldCoinsPlayerBet} <color=#fddc1e>Goldmünzen</color> und ich werde ebenfalls {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color>. \n\nsetzen. Deine erste Karte ist <color=#019245><b>{PlayerCards}</b></color>.,Vous pariez {GoldCoinsPlayerBet} <color=#fddc1e>Pièces d'or</color> et je vais parier également {GoldCoinsPlayerBet} <color=#fddc1e>Pièces d'or</color>. \n\nVotre première carte est <color=#019245><b>{PlayerCards}</b></color>.,"Hai scommesso {GoldCoinsPlayerBet} <color=#fddc1e>Monete d'Oro</color> , io scommetto {GoldCoinsPlayerBet} <color=#fddc1e>Monete d'Oro</color>. \n\nLa tua prima carta è <color=#019245><b>{PlayerCards}</b></color>.",Te apuestas {GoldCoinsPlayerBet} <color=#fddc1e>Monedas de Oro</color> y yo también apostaré {GoldCoinsPlayerBet} <color=#fddc1e>Monedas de Oro</color>. \n\nTu primera carta es <color=#019245><b>{PlayerCards}</b></color>.,,,,Вы ставите {GoldCoinsPlayerBet} <color=#fddc1e>Золотых монет</color> и я также ставлю {GoldCoinsPlayerBet} <color=#fddc1e>Золотых монет</color>. \n\nВаша первая карта <color=#019245><b>{PlayerCards}</b></color>.,あなたは<color=#fddc1e>{GoldCoinsPlayerBet}ゴールドコイン</color>を賭け、私も<color=#fddc1e>{GoldCoinsPlayerBet}ゴールドコイン</color>を賭けます。\n\nあなたの最初のカードは<color=#019245><b>{PlayerCards}</b></color>です。,你赌{GoldCoinsPlayerBet} <color=#fddc1e>金币</color>那么我也赌 {GoldCoinsPlayerBet} <color=#fddc1e>金币</color>. \n\n你的第一张牌是<color=#019245><b>{PlayerCards}</b></color>.,,,{GoldCoinsPlayerBet} <color=#fddc1e>Altın Sikke</color> ile bahis oynuyorsun ve ben de {GoldCoinsPlayerBet} <color=#fddc1e>Altın Sikke</color> üzerine bahse girerim. \n\nİlk kartın <color=#019245><b>{PlayerCards}</b></color>.,,,
txt_aqCI0,Do you want another card?,Möchtst du eine andere Karte?,Voulez-vous une autre carte?,Vuoi un'altra carta?,¿Quieres otra carta?,,,,Вы хотите еще карту?,他のカードが欲しい？,你还想要牌吗？,,,Başka kart istiyor musun?,,,
txt_GiiaK,Yes,Ja,Oui,Si,Si,,,,Да,Yes,是,,,Evet,,,
txt_8OGas,No,Nein,Non,No,No,,,,Нет,No,否,,,Hayır,,,
txt_GaeK3,Your next card is <color=#019245><b>{NextCard}</b></color>. \nNow you have <color=#fd9b00><b>{PlayerCards}</b></color> in total!,Deine nächste Karte ist <color=#019245><b>{NextCard}</b></color>. \nNun hast du <color=#fd9b00><b>{PlayerCards}</b></color> insgesamt!,Votre carte suivante est <color=#019245><b>{NextCard}</b></color>. \nMaintenant vous avez <color=#fd9b00><b>{PlayerCards}</b></color> au total!,La tua prossima carta è <color=#019245><b>{NextCard}</b></color>. \nAdesso hai <color=#fd9b00><b>{PlayerCards}</b></color> in totale!,Tu próxima carta es <color=#019245><b>{NextCard}</b></color>.\n¡Ahora tienes <color=#fd9b00><b>{PlayerCards}</b></color> en total!,,,,Ваша следующая карта <color=#019245><b>{NextCard}</b></color>. \nВы набрали <color=#fd9b00><b>{PlayerCards}</b></color> всего!,次のカードは<color=#019245><b>{NextCard}です。\nあなたの合計は<color=#fd9b00><b>{PlayerCards}</b></color>です。,你下一张牌是<color=#019245><b>{NextCard}</b></color>. \n现在你总共有<color=#fd9b00><b>{PlayerCards}</b></color> ！,,,Bir sonraki kartın <color=#019245><b>{NextCard}</b></color>. \nŞimdi toplamda <color=#fd9b00><b>{PlayerCards}</b></color> var!,,,
txt_G0Fqm,<color=#cf0707>You lost!</color>,<color=#cf0707>Du hast verloren!</color>,<color=#cf0707>Vous avez perdu!</color>,<color=#cf0707>Hai Perso!</color>,<color=#cf0707>¡Has perdido!</color>,,,,<color=#cf0707>Вы проиграли!</color>,<color=#cf0707>あなたの負け！</color>,<color=#cf0707>你输了！</color>,,,<color=#cf0707>Kaybettin!</color>,,,
txt_O4W4q,My first card is a <color=#019494>{DealerCards}</color>,Meine erste Karte ist <color=#019494>{DealerCards}</color>,Ma première carte est <color=#019494>{DealerCards}</color>,La mia prima carta è <color=#019494>{DealerCards}</color>,Mi primera carta es una <color=#019494>{DealerCards}</color>,,,,Моя первая карта <color=#019494>{DealerCards}</color>,私の最初のカードは<color=#019494>{DealerCards}</color>です。,我的第一张牌是<color=#019494>{DealerCards}</color>,,,İlk kartım bir <color=#019494>{DealerCards}</color>,,,
txt_0CqKm,My next card is <color=#019494>{DealerNewCard}</color>.   Now I have <color=#019494><b>{DealerCards}!</b></color>,Meine nächste Karte ist <color=#019494>{DealerNewCard}</color>. Nun habe ich <color=#019494><b>{DealerCards}!</b></color>,Ma carte suivante est <color=#019494>{DealerNewCard}</color>. Maintenant j'ai <color=#019494><b>{DealerCards}!</b></color> au total!,La mia prossima carta è <color=#019494>{DealerNewCard}</color>.   Adesso ho <color=#019494><b>{DealerCards}!</b></color>,Mi próxima carta es <color=#019494>{DealerNewCard}</color>.  Ahora tengo <color=#019494><b>{DealerCards}</b></color>,,,,Моя следующая карта <color=#019494>{DealerNewCard}</color>.   Я набрал <color=#019494><b>{DealerCards}!</b></color>,私の次のカードは<color=#019494>{DealerNewCard}</color>です。これで<color=#019494><b>{DealerCards}</b></color>ができました！,我的下一张牌是<color=#019494>{DealerNewCard}</color>。 现在我有<color=#019494><b>{DealerCards}！</b></color>,,,Sonraki kartım <color=#019494>{DealerNewCard}</color>.  Şimdi benim <color=#019494><b>{DealerCards}!</b></color> var,,,
txt_40jMG,<color=#019245><b>You won! </b></color>Here take your <color=#fddc1e>{2*GoldCoinsPlayerBet} Gold Coins</color>!,"<color=#019245><b>Du hast gewonnen! </b></color>Hier, nimm deine <color=#fddc1e>{2*GoldCoinsPlayerBet} Goldmünzen</color>!",<color=#019245><b>YVous avez gagné!</b></color>. Voici vos <color=#fddc1e>{2*GoldCoinsPlayerBet} Pièces d'or</color>!,"<color=#019245><b>Hai vinto! </b></color>Ecco, prendi le tue <color=#fddc1e>{2*GoldCoinsPlayerBet} Monete d'Oro</color>!",<color=#019245><b>¡Has ganado! </b></color>¡Aquí tienes tus <color=#fddc1e>{2*GoldCoinsPlayerBet} Monedas de oro</color>!,,,,<color=#019245><b>Вы выиграли! </b></color>Заберите ваши <color=#fddc1e>{2*GoldCoinsPlayerBet} Золотых монет</color>!,<color=#019245><b>あなたの勝ちです！</b></color><color=#fddc1e>{2*GoldCoinsPlayerBet}</color>ゴールドコインをどうぞ！,<color=#019245><b>你赢了！ </b></color>拿走你的<color=#fddc1e>{2*GoldCoinsPlayerBet}金币</color>！,,,<color=#019245><b>Kazandın! </b></color>Bu kadar <color=#fddc1e>{2*GoldCoinsPlayerBet} Altın Sikke</color> senin!,,,
txt_8mhiq,You have <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>You lost!</color>,Du hast <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Du hast verlorent!</color>,Vous avez <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Vous avez perdu!</color>,Hai <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Hai perso!</color>,Tienes <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>¡Has perdido!</color>,,,,У вас <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Вы проиграли!</color>,あなたのカードは<color=#fd9b00>{PlayerCards}</color>。<color=#ff0000>あなたの負けです！</color>,你有<color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>你输了！</color>,,,Senin <color=#fd9b00>{PlayerCards}</color> var. <color=#ff0000>Kaybettin!</color>,,,
txt_8Ujii,You have <color=#019245>won {TotalGamesWon}</color> and <color=#cf0707>lost {TotalGamesLost}</color> <color=#cf0707></color>games in this session so far.\nDo you want to play again?,Du hast <color=#019245>{TotalGamesWon} gewonnene</color> und <color=#cf0707>{TotalGamesLost} verlorene</color> <color=#cf0707></color> Partien in dieser Runde.\n Möchtest du wieder spielen?,Vous avez <color=#019245>gagné {TotalGamesWon}</color> et <color=#cf0707>perdu {TotalGamesLost}</color> <color=#cf0707></color> parties dans cette session jusqu'à présent. \nRejouer?,Hai <color=#019245>vinto {TotalGamesWon}</color> e <color=#cf0707>perso {TotalGamesLost}</color> <color=#cf0707></color>partite in questa sessione fino ad ora.\nVuoi giocare ancora?,Has <color=#019245>ganado {TotalGamesWon}</color> y <color=#cf0707>perdido {TotalGamesLost}</color> <color=#cf0707></color>juegos en esta sesión hasta ahora.\n¿Quieres jugar de nuevo?,,,,Вы <color=#019245>выйграли {TotalGamesWon}</color> и <color=#cf0707>проиграли {TotalGamesLost}</color> <color=#cf0707></color>игр в этом игровом сеансе.\nХотите играть еще?,あなたはこれまでのところ、このセッションで<color=#019245>{TotalGamesWon}回勝ち</color> 、<color=#cf0707>{TotalGamesLost}回負け</color>ています。\nもう一度プレイしますか？,目前为止你<color=#019245>赢了{TotalGamesWon}</color> 把并且 <color=#cf0707>输了 {TotalGamesLost}</color> <color=#cf0707></color>把游戏。\n还行再玩一把吗？,,,Bu oturumda şu ana kadar <color=#019245>kazanç {TotalGamesWon}</color> ve <color=#cf0707>kayıp {TotalGamesLost}</color> <color=#cf0707></color>var.\nTekrar oynamak ister misin?,,,
txt_vmOu4,Yes,Ja,Oui,Si,Si,,,,Да,Yes,是,,,Evet,,,
txt_8Oiie,No,Nein,Non,No,No,,,,Нет,No,否,,,Hayır,,,
txt_O8CaF,Come back soon! Bye.,Komm bald wieder! Bye,Revenez me voir! Bye.,Torna presto! Ciao.,¡Vuelve pronto! Adiós.,,,,Возвращайся скорее! До свидания.,また来てください！　さようなら。,早点回来！拜拜。,,,Tekrar beklerim! Hoşçakal.,,,
txt_oiqaF,"First I draw cards for you, then for myself. Whoever comes closest to Number 21 wins. The card I draw has the number from 1 to 11. After each card you have the choice to stop.\nIf you win, you get my part on top of your bet.","Erst lege ich Karten für dich, dann für mich. Wer näher an den Wert 21 kommt, gewinnt. Die Karten die ich lege, haben Werte zwischen 1 und 11. Nach jeder Karte hast du die Möglichkeit aufzuhören.\n Wenn du gewinnst, bekommst du meinen Einsatz.","Je pioche d'abord des cartes pour vous, puis pour moi. Celui qui s'approche le plus du nombre 21 gagne. La carte piochée a un nombre de 1 à 11. Après chaque carte, vous avez le choix d'arrêter. \nSi vous gagnez, vous obtenez ma part en plus de votre mise.","Pescherò prima le tue carte, poi le mie. Vince chi arriva più vicino al Numero 21. Le carte che pesco possono andare dall'1 all'11. Dopo ogni carta puoi decidere di fermarti.\nSe vinci, riceverai la somma delle nostre scommesse.","Primero saco cartas para ti, luego para mí. El que se acerque más al número 21 gana. La carta que yo saque tiene el número del 1 al 11. Después de cada carta tienes la opción de parar. Si ganas, tienes mi parte en la parte superior de tu apuesta.",,,,"Сначала я раздаю карты вам, потом себе. Тот, кто ближе всех к числу 21, побеждает. Карта, которую я раздаю, имеет номер от 1 до 11. После каждой карты у вас есть возможность остановиться.\nЕсли вы выиграете, вы получите мою ставку в дополнение к вашей.",最初にあなたのためにカードを引き、次に自分のためにカードを引きます。21番に一番近い人が勝ち。私が引くカードには1から11までの数字が描かれています。カードを引いた後、止めるかどうかを選ぶことができます。\nあなたが勝った場合、賭け金の上に私の分が加算されます。,首先会向你发牌，然后发给我。谁的牌最接近21点谁获胜。所有发的牌点数是从1到11。每次发牌后你都可以叫停比点。\n如果你赢了，获得赌注双倍赔付。,,,"Önce senin için, sonra kendim için kart çekiyorum. 21 Numaraya yaklaşan kazanır. Çektiğim kartta 1'den 11'e kadar bir sayı var. Her karttan sonra durdurma seçeneğin var.\nEğer kazanırsan, bahsinin üstüne benim payımı alırsın.",,,
txt_emqJ4,"Ok thanks, I got it <i><color=#ffffff>(Back)</color></i>","Ok danke, ich habe verstanden <i><color=#ffffff>(Back)</color></i>",Ok j'ai compris <i><color=#ffffff>(Retour)</color></i>,"Ok ho capito, grazie <i><color=#ffffff>(Indietro)</color></i>","Vale gracias, lo tengo <i><color=#ffffff>(Back)</color></i>",,,,"Хорошо, спасибо, я понял <i><color=#ffffff>(Вернуться)</color></i>",OKありがとう、もらった<i><color=#ffffff>（戻る）</color></i>,好的，谢谢，我知道了<i><color=#ffffff>(返回)</color></i>,,,"Tamam teşekkürler, anladım <i><color=#ffffff>(Back)</color></i>",,,
txt_80qd8,"Wait, how does it work?","Warte, wie funktioniert das?","Attendez, comment ça marche?","Un momento, come funziona?","Espera, ¿cómo funciona?",,,,"Подождите, как это работает?",待て、これはどうやるんだ？,等等，这是怎么玩的？,,,"Bekle, nasıl oluyor?",,,
txt_O4ame,You lost 20 times on my table by now. Come back later and think about getting a real job maybe.,"Du hast jetzt 20 Mal an meinem Tisch verloren. Komm später wieder und denke inzwischen darüber nach, vielleicht eine ordentlichen Arbeit zu übernehmen.","Vous avez perdu 20 fois sur ma table, jusqu'à présent. Revenez plus tard mais pensez peut-être à trouver un vrai travail.",Hai perso 20 volte al mio tavolo fino adesso. Torna più tardi e prova a penasare se è il caso di trovare un vero lavoro.,"Ya has perdido 20 veces en mi mesa. Vuelve más tarde y, tal vez, piensa en conseguir un trabajo de verdad.",,,,Вы проиграли 20 раз за моим столом. Возвращайтесь позже и подумайте о поиске настоящей работы.,あなたは今まで私のテーブルで20回も負けました。後で戻ってきて、まともな仕事に就くことを考えてください。,到目前为止你在我桌上输了20盘。过会儿再来吧，也许你应该考虑找份正当的工作。,,,Şimdiye kadar masamda 20 kez kaybettin. Daha sonra yine gel ve belki gerçek bir iş bulmayı düşün.,,,
txt_KaO0m,It's you again! Our Management ordered me to refuse playing with you. Come back later.,"Du schon wieder! Unser Management hat mich angewiesen, Spiele mit dir zu verweigern. Komm später wieder.",C'est encore vous! La direction m'interdit de jouer avec vous. Revenez plus tard.,Ancora tu! La Direzione mi ha ordinato di rifiutarmi di farti giocare. Torna più tardi.,¡Eres tú otra vez! Nuestra administración me ordenó que me negara a jugar contigo. Vuelve más tarde.,,,,Это снова ты! Наше руководство приказало мне отказаться от игры с вами. Возвращайтесь позже.,またお前か！我々の経営者はお前との遊びを拒否するように命じた。後で来てくれ。,又是你！我们经理不允许我和你玩了。过段时间再来吧。,,,Yine sensin! Yönetimimiz seninle oynamayı reddetmemi emretti. Daha sonra gel.,,,
txt_eeUSG,Can you tell me my Statistics first?,Kannst du mir zuerst meinen Spielstand sagen?,Pouvez-vous d'abord me montrer mes statistiques?,Puoi mostrarmi le mie statistiche prima?,¿Puedes decirme primero mis estadísticas?,,,,Можете ли вы сначала рассказать мне мою статистику?,先に私の統計を教えてくれないか？,你能先告诉我目前的赌局统计吗？,,,Öncelikle bana İstatistiklerimi söyler misin?,,,
txt_WKaie,On my table you played <color=#ffffff>{GamesPlayed}</color> times.\n\nYou <color=#019245>won {TableGamesWon}</color> times.\nYou <color=#cf0707>lost {TableGamesLost}</color> times.\n\nYou <color=#019245>won {TableCoinsWon}</color> <color=#fddc1e>Gold Coins</color>.\nYou <color=#cf0707>lost {TableCoinsLost}</color> <color=#fddc1e>Gold Coins</color>.,An meinem Tisch hast du <color=#ffffff>{GamesPlayed}</color> Mal gespielt.\n\nDu <color=#019245>hast {TableGamesWon}</color> Mal gewonnen.\nDu <color=#cf0707>hast {TableGamesLost}</color> Mal verloren.\n\nDu hast <color=#019245> {TableCoinsWon}</color> <color=#fddc1e>Goldmünzen</color>gewonnen.\nDu <color=#cf0707>hast {TableCoinsLost}</color> <color=#fddc1e>Goldmünzen</color>verloren.,Sur ma table vous avez joué <color=#ffffff>{GamesPlayed}</color> fois.\n\nVous avez <color=#019245>gagné {TableGamesWon}</color> fois.\nVous avez <color=#cf0707>perdu {TableGamesLost}</color> fois.\n\nVous avez <color=#019245>gagné {TableCoinsWon}</color> <color=#fddc1e>Pièces d'or</color>.\nVous avez <color=#cf0707>perdu {TableCoinsLost}</color> <color=#fddc1e>Pièces d'or</color>.,Al mio tavolo hai giocato <color=#ffffff>{GamesPlayed}</color> volte.\n\nHai <color=#019245>vinto {TableGamesWon}</color> volte.\nHai <color=#cf0707>perso {TableGamesLost}</color> volte.\n\nHai <color=#019245>vinto {TableCoinsWon}</color> <color=#fddc1e>Monete d'Oro</color>.\nHai <color=#cf0707>perso {TableCoinsLost}</color> <color=#fddc1e>Monete d'Oro</color>.,En mi mesa has jugado <color=#ffffff>{GamesPlayed}</color> veces.\n\n<color=#019245>Has ganado {TableGamesWon}</color> veces.\n<color=#cf0707>Has perdido {TableGamesLost}</color> veces.\n\n<color=#019245>Has ganado {TableCoinsWon}</color> <color=#fddc1e>Monedas de Oro</color>.\n<color=#cf0707>Has perdido {TableCoinsLost}</color> <color=#fddc1e>Monedas de Oro</color>.,,,,На моем столе вы играли <color=#ffffff>{GamesPlayed}</color> раз.\n\nВы <color=#019245>выйграли {TableGamesWon}</color> раз.\nВы <color=#cf0707>проиграли {TableGamesLost}</color> раз.\n\nВы <color=#019245>выйграли {TableCoinsWon}</color> <color=#fddc1e>Золотых монет</color>.\nВы <color=#cf0707>проиграли {TableCoinsLost}</color> <color=#fddc1e>Золотых монет</color>.,私のテーブルであなたは<color=#ffffff>{GamesPlayed}回プレイ</color>した。\n\n<color=#019245>{TableGamesWon}回勝って</color>、<color=#cf0707>{TableGamesLost}回負けた</color>。\n\nあなたは<color=#019245>{TableCoinsWon}<color=#fddc1e>ゴールドコイン</color>勝って</color>、<color=#cf0707>{TableCoinsLost}</color><color=#fddc1e>ゴールドコイン</color>を失いました。,你在这已玩了<color=#ffffff>{GamesPlayed}</color>局了。\n\n你<color=#019245>赢了{TableGamesWon}</color>局。\n你<color=#cf0707>输了{TableGamesLost}</color>局。\n\n你一共 <color=#019245>赢得{TableCoinsWon}</color> <color=#fddc1e>个金币</color>。\n你一共<color=#cf0707>输掉{TableCoinsLost}</color> <color=#fddc1e>个金币</color>.,,,,,,
txt_aCMq8,Alright then... <i><color=#ffffff>(Back)</color></i>,Also dann... <i><color=#ffffff>(Back)</color></i>,Ok ... <i><color=#ffffff>(Retour)</color></i>,Va bene allora... <i><color=#ffffff>(Back)</color></i>,"Muy bien, entonces... <i><color=#ffffff>(Back)</color></i>",,,,"Хорошо, тогда... <i><color=#ffffff>(Вернуться)</color></i>",わかった。それでは... <i><color=#ffffff>（戻る）</color></i>,好吧... <i><color=#ffffff>(返回)</color></i>,,,,,,
dialogue_G8GSe,Station Service Console,Stationsservicekonsole,Console Services Plus,Console Stazione di Servizio,Consola de la Estación de Servicio,,,,Консоль обслуживания станции,ステーションサービスコンソール,站点服务控制台,,,,,,
dialogue_02Giu,U..cde..ksss..damaged. You nee..legitimate ID!,U..cde..ksss..beschädigt. Du brauch..Legitimations-ID!,U..cde..ksss..endommagé. Nécessite autorisation ID!,Dov..cd..ce..ksss..danneggiato. Dovet..autorzzre l'ID!,U..cde..ksss..dañada. Usted necesit..identificación legítima!,,,,U..cde..ksss..поврежден. Вам нуж.. легальный ИД!,U...cde...ksss...ダメージを受けました。あなたは必要...正当なID！,U..代码..损坏。你需..授权ID！,,,,,,
dialogue_8WuSa,UCH Heidelberg,UCH Heidelberg,UCH Heidelberg,UCH Heidelberg,CUH Heidelberg,,,,UCH Гейдельберг,UCH ハイデルベルク,UCH海德堡号,,,UCH Heidelberg,,,
dialogue_40mWq,..dentify cn...us..!,..dentifiziere cn...uns..!,..dentification cn...nous..!,..tificazione sia...noi..!,..dentificar cn ... nosotros ..!,,,,..дентифицируй cn...нас..!,..く認 cn...我々..！,..识别...我们..！,,,,,,
dialogue_484O8,Integrated Data Assistant (IDA),Integrierter Daten-Assistent (IDA),Assistant de données intégré (IDA),Assistente Dati Integrata (IDA),Asistente de datos integrado (IDA),,,,Встроенный Исскуственный Компьютерный Ассистент (ВИКА),統合データアシスタント(IDA),集成数据助手(IDA),,,,,,
dialogue_ea4m7,\n<color=#00ffff>Emergency situation detected! </color>\n\n@w4 Protocol UCH001A has been initialized!,\n<color=#00ffff>Notfall erkannt! </color>\n\n@w4 Protokoll UCH001A wurde initialisiert!,\n<color=#00ffff>Situation d'urgence détectée!</color> \n\n@w4 Le protocole CHU001A a été initialisé!,\n<color=#00ffff>Situazione di emergenza rilevata! </color>\n\n@w4 Protocollo UCH001A avviato!,\n<color=#00ffff>¡Situación de emergencia detectada!</color>\n\n@w4 ¡Protocolo CUH001A inicializado!,,,,\n<color=#00ffff>Обнаружена аварийная ситуация! </color>\n\n@w4 Протокол UCH001A был инициализирован!,\n<color=#00ffff>緊急事態を検知！ </color>\n\n@w4 プロトコル UCH001A が初期化されました！,\n<color=#00ffee>检测到紧急情况！</color>\n\n@w4UCH001A协议初始化完成！,,,,,,
